node_id,count,A,r,cL,word
41,0,90,8678241,16470190201812384299785309845407,2.2.1.1.2.1.1.1.2.1.1.2.1.1.1.4.2.1.1.2.1.1.3.1.1.1.1.3.1.1.1.2.1.2.2.1.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.1.1.2.1.1.1.1.2.1.1.1.3
42,0,90,7955437,34127033773720740122348651979539,3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1
43,0,91,14658047,3695334236648476276749244371713,1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1.1.4
44,0,91,13659775,3643405973747613510102005960321,1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.3.2.1.3.1.1.1.2.2.1.1.1.1.3.1.1.1.1.3.1.2.1.1.4.3.2.2.2.1.1.2.1.2.1.3.2
45,0,91,6858175,3815292885994450829567294134081,1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.3.1.1.1.1.3.1.2.1.1.1.2.1.2.2.5.1.2.1.2.2.1.3.2.1.1.1.2.1.5.1.2.2.1.1.1.2.1.1.1.1
46,0,91,16825535,7422352945738542402676797489217,1.1.1.1.1.2.3.1.1.1.1.2.3.1.2.1.1.2.1.1.1.1.1.1.1.1.4.1.2.1.2.3.1.1.1.1.1.1.1.3.3.1.2.1.1.1.1.1.2.1.2.1.3.1.1.2.1.1.3.1.1.1.1.1
47,0,91,18984255,6293083930159626459506558685121,1.1.1.1.1.3.1.2.1.1.2.1.3.1.1.1.1.1.1.1.2.2.2.1.1.1.1.1.2.1.2.2.1.1.1.1.1.1.1.1.1.2.1.3.2.1.2.1.1.1.1.2.2.1.5.3.1.1.2.2.1.1.1.1
48,0,91,11174719,35389779996920202958803380861377,1.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1
49,0,91,13585567,7224856673234417910667603169377,1.1.1.1.2.1.1.1.2.1.1.1.5.1.1.3.2.1.1.1.1.1.1.1.1.2.1.1.1.1.4.1.1.1.1.1.1.1.2.4.1.1.2.1.1.1.1.2.1.1.1.1.3.2.3.1.2.1.1.1.1.1.3.1
50,0,91,19134111,4484162551146795245324516894305,1.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.1.2.1.1.1.1.1.1.1.3.2.3.3.1.3.1.1.1.1.1.1.3.2.1.1.2.1.1.1.1.2.2.1.2.2.1.1.1.2.2.1.2.3.1.2.1.1.1
51,0,91,8829407,30036374853201116719705201943329,1.1.1.1.3.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1
52,0,91,16762079,51369066025273333576151045871649,1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1
53,0,91,13244111,43338958309694704217503777494577,1.1.1.3.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1
54,0,91,13702759,7085104511110444763716678508185,1.1.2.1.1.1.3.1.2.1.1.1.2.1.2.1.1.1.1.2.1.1.1.1.1.1.3.1.1.1.1.1.2.1.2.1.2.1.2.1.1.1.2.4.3.3.1.1.1.1.1.1.1.1.1.2.4.1.2.1.1.2.1.1
55,0,91,16220755,18033215552833596180878008465069,1.3.1.1.1.3.2.1.1.2.1.1.1.1.1.1.2.1.2.1.1.2.1.2.2.1.2.2.1.1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.2.2.2.1.1.1.2.1.1.1.2.1.1.1.2.3.1.3
56,0,91,6508681,11494531181295981448743244892791,2.1.1.2.1.1.1.2.1.1.2.1.1.1.4.2.1.1.2.1.1.3.1.1.1.1.3.1.1.1.2.1.2.2.1.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.1.1.2.1.1.1.1.2.1.1.1.3.3
57,0,91,19904457,73446578930691314505043804349239,2.1.1.4.1.1.2.1.3.2.2.1.1.1.2.1.3.1.2.1.1.1.2.1.2.1.1.1.2.1.1.3.1.1.1.1.1.1.1.3.1.1.1.1.1.2.3.1.1.1.1.2.1.1.1.1.1.1.1.2.1.2.2.1
58,0,91,16220753,24900583193418621150193706643631,2.3.1.1.2.1.2.1.1.2.1.1.1.1.1.1.2.1.2.1.1.2.1.2.2.1.2.2.1.1.2.1.2.1.1.1.1.1.1.2.1.1.1.2.1.1.2.2.2.1.1.1.2.1.1.1.2.1.1.1.2.3.1.3
